time,zip,county,n_ev,n_bev,n_phev,m_ev,m_bev,m_phev
2017-01-31,98844,Okanogan,,,,43,24,20
2017-01-31,98845,Douglas,1,1,,43,24,20
2017-01-31,98846,Okanogan,,,,43,24,20
2017-01-31,98847,Chelan,1,1,,43,24,20
2017-01-31,98848,Grant,4,2,2,43,24,20
2017-01-31,98849,Okanogan,1,,1,43,24,20
2017-01-31,98850,Douglas,2,1,1,43,24,20
2017-01-31,98851,Grant,4,2,2,43,24,20
2017-01-31,98852,Chelan,,,,43,24,20
2017-01-31,98853,Grant,,,,43,24,20
2017-01-31,98855,Okanogan,2,1,1,43,24,20
2017-01-31,98856,Okanogan,4,1,3,43,24,20
2017-01-31,98857,Grant,,,,43,24,20
2017-01-31,98858,Douglas,,,,43,24,20
2017-01-31,98859,Okanogan,,,,43,24,20
2017-01-31,98860,Grant,,,,43,24,20
2017-01-31,98862,Okanogan,2,,2,43,24,20
2017-01-31,98901,Yakima,12,6,6,43,24,20
2017-01-31,98902,Yakima,14,3,11,43,24,20
2017-01-31,98903,Yakima,2,2,,43,24,20
2017-01-31,98908,Yakima,27,14,13,43,24,20
2017-01-31,98921,Yakima,,,,43,24,20
2017-01-31,98922,Kittitas,9,6,3,43,24,20
2017-01-31,98923,Yakima,1,1,,43,24,20
2017-01-31,98925,Kittitas,,,,43,24,20
2017-01-31,98926,Kittitas,13,5,8,43,24,20
2017-01-31,98929,Yakima,,,,43,24,20
2017-01-31,98930,Yakima,1,1,,43,24,20
2017-01-31,98932,Yakima,,,,43,24,20
2017-01-31,98933,Yakima,,,,43,24,20
2017-01-31,98934,Kittitas,1,1,,43,24,20
2017-01-31,98935,Yakima,,,,43,24,20
2017-01-31,98936,Yakima,1,,1,43,24,20
2017-01-31,98937,Yakima,3,,3,43,24,20
2017-01-31,98938,Yakima,,,,43,24,20
2017-01-31,98939,Yakima,,,,43,24,20
2017-01-31,98940,Kittitas,2,1,1,43,24,20
2017-01-31,98941,Kittitas,1,1,,43,24,20
2017-01-31,98942,Yakima,7,3,4,43,24,20
2017-01-31,98943,Kittitas,,,,43,24,20
2017-01-31,98944,Yakima,4,1,3,43,24,20
2017-01-31,98946,Kittitas,,,,43,24,20
2017-01-31,98947,Yakima,,,,43,24,20
2017-01-31,98948,Yakima,,,,43,24,20
2017-01-31,98950,Kittitas,,,,43,24,20
2017-01-31,98951,Yakima,,,,43,24,20
2017-01-31,98952,Yakima,,,,43,24,20
2017-01-31,98953,Yakima,1,1,,43,24,20
2017-01-31,99001,Spokane,4,1,3,43,24,20
2017-01-31,99003,Spokane,1,,1,43,24,20
2017-01-31,99004,Spokane,14,7,7,43,24,20
2017-01-31,99005,Spokane,14,7,7,43,24,20
