census_tract_2020,census_tract_2010
53033032010,53033032010.0
53033032011,53033032011.0
53033032102,53033032102.0
53033032103,53033032103.0
53033032104,53033032104.0
53033032207,53033032207.0
53033032211,53033032211.0
53033032213,53033032213.0
53033032215,53033032215.0
53033032216,53033032203.0
53033032217,53033032203.0
53033032218,53033032208.0
53033032219,53033032208.0
53033032220,53033032210.0
53033032221,53033032210.0
53033032222,53033032212.0
53033032223,53033032212.0
53033032224,53033032214.0
53033032225,53033032214.0
53033032307,53033032307.0
53033032311,53033032311.0
53033032313,53033032313.0
53033032315,53033032315.0
53033032316,53033032316.0
53033032317,53033032317.0
53033032318,53033032318.0
53033032319,53033032319.0
53033032320,53033032320.0
53033032321,53033032321.0
53033032322,53033032322.0
53033032323,53033032323.0
53033032324,53033032324.0
53033032325,53033032325.0
53033032326,53033032326.0
53033032327,53033032327.0
53033032328,53033032328.0
53033032330,53033032309.0
53033032331,53033032309.0
53033032332,53033032329.0
53033032333,53033032329.0
53033032401,53033032401.0
53033032402,53033032402.0
53033032500,53033032500.0
53033032601,53033032601.0
53033032603,53033032602.0
53033032604,53033032602.0
53033032605,53033032602.0
53033032703,53033032703.0
53033032704,53033032704.0
53033032705,53033032702.0
53033032706,53033032702.0
53033032800,53033032800.0
53033990100,53033990100.0
53035080101,53035080101.0
53035080102,53035080102.0
53035080200,53035080200.0
53035080300,53035080300.0
53035080400,53035080400.0
53035080500,53035080500.0
53035080600,53035080600.0
53035080700,53035080700.0
53035080800,53035080800.0
53035080900,53035080900.0
53035081000,53035081000.0
53035081100,53035081100.0
53035081200,53035081200.0
53035081400,53035081400.0
53035090101,53035090101.0
53035090102,53035090102.0
53035090201,53035090201.0
53035090202,53035090202.0
53035090300,53035090300.0
53035090400,53035090400.0
53035090501,53035090501.0
53035090502,53035090502.0
53035090700,53035090700.0
53035090800,53035090800.0
53035090901,53035090900.0
53035090902,53035090900.0
53035091001,53035091000.0
53035091002,53035091000.0
53035091100,53035091100.0
53035091201,53035091201.0
53035091204,53035091204.0
53035091205,53035091203.0
53035091206,53035091203.0
53035091301,53035091301.0
53035091302,53035091302.0
53035091400,53035091400.0
53035091500,53035091500.0
53035091600,53035091600.0
53035091701,53035091700.0
53035091702,53035091700.0
53035091800,53035091800.0
53035091900,53035091900.0
53035092000,53035092000.0
53035092101,53035092100.0
53035092102,53035092100.0
53035092200,53035092200.0
53035092300,53035092300.0
53035092400,53035092400.0
53035092500,53035092500.0
53035092600,53035092600.0
53035092701,53035092701.0
53035092704,53035092704.0
53035092801,53035092801.0
53035092802,53035092802.0
53035092803,53035092803.0
53035092901,53035092901.0
53035092902,53035092902.0
53035940000,53035940000.0
53035940100,53035940100.0
53035990100,53035990100.0
53037975101,53037975100.0
53037975102,53037975100.0
53037975103,53037975100.0
53037975104,53037975100.0
53037975201,53037975200.0
53037975202,53037975200.0
53037975203,53037975200.0
53037975300,53037975300.0
53037975402,53037975402.0
53037975403,53037975401.0
53037975404,53037975401.0
53037975500,53037975500.0
53037975600,53037975600.0
53037975700,53037975700.0
53039950101,53039950100.0
53039950102,53039950100.0
53039950103,53039950100.0
53039950200,53039950200.0
53039950301,53039950300.0
53039950302,53039950300.0
53041970100,53041970100.0
53041970200,53041970200.0
53041970300,53041970300.0
53041970400,53041970400.0
53041970500,53041970500.0
53041970600,53041970600.0
53041970700,53041970700.0
53041970800,53041970800.0
53041970900,53041970900.0
53041971000,53041971000.0
53041971100,53041971100.0
53041971200,53041971200.0
53041971300,53041971300.0
53041971400,53041971400.0
53041971501,53041971500.0
53041971502,53041971500.0
53041971600,53041971600.0
53041971700,53041971700.0
53041971800,53041971800.0
53041971900,53041971900.0
53041972000,53041972000.0
53043960100,53043960100.0
53043960200,53043960200.0
53043960300,53043960300.0
53043960400,53043960400.0
53045940000,53045940000.0
53045960100,53045960100.0
53045960201,53045960200.0
53045960202,53045960200.0
53045960301,53045960300.0
53045960302,53045960300.0
53045960401,53045960400.0
53045960402,53045960400.0
53045960403,53045960400.0
53045960500,53045960500.0
53045960600,53045960600.0
53045960700,53045960700.0
53045960800,53045960800.0
53045960900,53045960900.0
53045961000,53045961000.0
53045961101,53045961100.0
53045961102,53045961100.0
53045961200,53045961200.0
53045961300,53045961300.0
53047940100,53047940100.0
53047940200,53047940200.0
53047970301,53047970300.0
53047970302,53047970300.0
53047970303,53047970300.0
53047970400,53047970400.0
53047970500,53047970500.0
53047970601,53047970600.0
53047970602,53047970600.0
53047970700,53047970700.0
53047970800,53047970800.0
53047970900,53047970900.0
53047971000,53047971000.0
53049950200,53049950200.0
53049950301,53049950300.0
53049950302,53049950300.0
53049950400,53049950400.0
53049950501,53049950500.0
53049950502,53049950500.0
53049950600,53049950600.0
53049950701,53049950700.0
53049950702,53049950700.0
53049950801,53049950800.0
53049950802,53049950800.0
53049990100,53049990100.0
53051970100,53051970100.0
53051970200,53051970200.0
53051970300,53051970300.0
53051970400,53051970400.0
53051970500,53051970500.0
53053060200,53053060200.0
53053060300,53053060300.0
53053060400,53053060400.0
53053060500,53053060500.0
53053060600,53053060600.0
53053060700,53053060700.0
53053060800,53053060800.0
53053060903,53053060903.0
53053060904,53053060904.0
53053060906,53053060906.0
53053060907,53053060905.0
53053060908,53053060905.0
53053061001,53053061001.0
53053061002,53053061002.0
53053061100,53053061100.0
53053061200,53053061200.0
53053061300,53053061300.0
53053061400,53053061400.0
