id,Total,Geographic Area Name,zip
8600000US99201,13342,ZCTA5 99201,99201
8600000US99202,21580,ZCTA5 99202,99202
8600000US99203,20192,ZCTA5 99203,99203
8600000US99204,6681,ZCTA5 99204,99204
8600000US99205,42137,ZCTA5 99205,99205
8600000US99206,34802,ZCTA5 99206,99206
8600000US99207,30854,ZCTA5 99207,99207
8600000US99208,49193,ZCTA5 99208,99208
8600000US99212,19197,ZCTA5 99212,99212
8600000US99216,24362,ZCTA5 99216,99216
8600000US99217,17423,ZCTA5 99217,99217
8600000US99218,15531,ZCTA5 99218,99218
8600000US99223,29273,ZCTA5 99223,99223
8600000US99224,18289,ZCTA5 99224,99224
8600000US99301,68191,ZCTA5 99301,99301
8600000US99320,9201,ZCTA5 99320,99320
8600000US99321,531,ZCTA5 99321,99321
8600000US99322,217,ZCTA5 99322,99322
8600000US99323,3684,ZCTA5 99323,99323
8600000US99324,9202,ZCTA5 99324,99324
8600000US99326,4956,ZCTA5 99326,99326
8600000US99328,3733,ZCTA5 99328,99328
8600000US99329,160,ZCTA5 99329,99329
8600000US99330,907,ZCTA5 99330,99330
8600000US99333,50,ZCTA5 99333,99333
8600000US99335,340,ZCTA5 99335,99335
8600000US99336,48753,ZCTA5 99336,99336
8600000US99337,29845,ZCTA5 99337,99337
8600000US99338,11555,ZCTA5 99338,99338
8600000US99341,884,ZCTA5 99341,99341
8600000US99343,3040,ZCTA5 99343,99343
8600000US99344,16817,ZCTA5 99344,99344
8600000US99345,213,ZCTA5 99345,99345
8600000US99346,352,ZCTA5 99346,99346
8600000US99347,2293,ZCTA5 99347,99347
8600000US99348,1364,ZCTA5 99348,99348
8600000US99349,8483,ZCTA5 99349,99349
8600000US99350,12979,ZCTA5 99350,99350
8600000US99352,26975,ZCTA5 99352,99352
8600000US99353,13306,ZCTA5 99353,99353
8600000US99354,21343,ZCTA5 99354,99354
8600000US99356,294,ZCTA5 99356,99356
8600000US99357,4323,ZCTA5 99357,99357
8600000US99359,158,ZCTA5 99359,99359
8600000US99360,1350,ZCTA5 99360,99360
8600000US99361,1902,ZCTA5 99361,99361
8600000US99362,41056,ZCTA5 99362,99362
8600000US99363,216,ZCTA5 99363,99363
8600000US99371,311,ZCTA5 99371,99371
8600000US99401,273,ZCTA5 99401,99401
8600000US99402,1875,ZCTA5 99402,99402
8600000US99403,19548,ZCTA5 99403,99403
